200210221537 1 0 2 1614  319.94
200210221537 2 0 2 1614  319.94
200210221540 1 0 2 1614  319.94
200210221559 1 0 2  215   81.44
200210221564 1 0 2  216  108.58
200210221566 1 0 2  213   27.15
200210221579 1 0 2  314  352.90
200210221579 2 0 2  314  352.90
200210221582 1 0 2  611   49.28
200210221582 2 0 2  611   49.28
200210221584 1 0 2  614  344.96
200210221586 1 0 2  613   49.28
200210221587 1 0 2  616   98.56
200210221587 2 0 2  616   98.56
200210221588 1 0 2  611   49.28
200210221591 1 0 2  615   98.56
200210221591 2 0 2  615   98.56
200210221594 1 0 2  612   49.28
200210221594 2 0 2  612   49.28
200210221596 1 7 2 1616  106.65
200210221596 2 0 2 1616  106.65
200210221597 1 0 2 1615  106.65
200210221599 1 0 2  411   53.89
200210221599 2 0 2  411   53.89
200210221604 1 0 2  416  107.77
200210221604 2 0 2  416  107.77
200210221605 1 0 2  415  107.77
200210221606 1 0 2  414  323.32
200210221606 2 0 2  414  323.32
200210221611 1 0 2 1016   89.85
200210221611 2 0 2 1016   89.85
200210221611 3 0 2 1016   89.85
200210221611 4 0 2 1016   89.85
200210221612 1 0 2 1016   89.85
200210221612 2 0 2 1016   89.85
200210221612 3 0 2 1016   89.85
200210221619 1 0 2  416  107.77
200210221619 2 0 2  416  107.77
200210221624 1 0 2 1014  359.41
200210221625 1 0 2 1016   89.85
200210221625 2 0 2 1016   89.85
200210221626 1 0 2 1016   89.85
200210221627 1 0 2 1016   89.85
200210221630 1 0 2  115   81.44
200210221630 2 0 2  115   81.44
200210221632 1 0 2  116  108.58
200210221638 1 0 2  114  352.90
200210221638 2 0 2  114  352.90
200210221649 1 0 2  115   81.44
200210221649 2 0 2  115   81.44
200210221651 1 0 2  116  108.58
200210221651 2 0 2  116  108.58
200210221657 1 0 2  313   27.15
200210221657 2 0 2  313   27.15
200210221658 1 0 2  311   27.15
200210221658 2 0 2  311   27.15
200210221660 1 0 2  315   81.44
200210221660 2 0 2  315   81.44
200210221664 1 0 2  616   98.56
200210221666 1 0 2  616   98.56
200210221666 2 0 2  616   98.56
200210221667 1 0 2  615   98.56
200210221667 2 0 2  615   98.56
200210221671 1 0 2  916  115.05
200210221672 1 0 2  914  345.14
200210221675 1 0 2  911   57.52
200210221676 114 2  913   57.52
200210221678 1 0 2  915  115.05
200210221678 2 0 2  915  115.05
200210221682 1 0 2  914  345.14
200210221682 2 0 2  914  345.14
200210221683 1 0 2  916  115.05
200210221688 1 0 2  215   81.44
200210221689 1 0 2  213   27.15
200210221699 1 0 2  115   81.44
200210221706 1 0 2  116  108.58
200210221707 1 0 2  114  352.90
200210221707 2 0 2  114  352.90
200210221707 3 0 2  114  352.90
200210221711 1 0 2  316  108.58
200210221711 2 0 2  316  108.58
200210221719 1 0 2  214  352.90
200210221724 1 0 2  414  323.32
200210221724 2 0 2  414  323.32
200210221725 1 0 2  416  107.77
200210221728 1 0 2  415  107.77
200210221728 2 0 2  415  107.77
200210221731 1 0 2 1016   89.85
200210221732 1 0 2 1015   89.85
200210221732 297 2 1015   89.85
200210221735 1 0 2 1016   89.85
200210221735 2 0 2 1016   89.85
200210221737 1 0 2 1014  359.41
200210221737 250 2 1014  359.41
200210221758 1 0 2  211   27.15
200210221760 1 0 2  215   81.44
200210221760 2 0 2  215   81.44
200210221762 1 0 2  216  108.58
200210221762 2 0 2  216  108.58
200210221762 3 0 2  216  108.58
200210221774 1 0 2  314  352.90
200210221774 2 0 2  314  352.90
200210221778 1 0 2  613   49.28
200210221781 1 0 2  616   98.56
200210221782 1 0 2  611   49.28
200210221785 1 0 2  615   98.56
200210221785 2 0 2  615   98.56
200210221785 3 0 2  615   98.56
200210221787 1 0 2  611   49.28
200210221787 2 0 2  611   49.28
200210221788 1 0 2  613   49.28
200210221788 2 0 2  613   49.28
200210221790 1 0 2  613   49.28
200210221790 2 0 2  613   49.28
